draw_id,draw_date,day_of_week,prize_1st,prize_2nd,prize_3rd,special_1,special_2,special_3,special_4,special_5,special_6,special_7,special_8,special_9,special_10,consolation_1,consolation_2,consolation_3,consolation_4,consolation_5,consolation_6,consolation_7,consolation_8,consolation_9,consolation_10,jackpot_1_prize,jackpot_1_winners,jackpot_2_prize,jackpot_2_winners,gold_jackpot_1_prize,gold_jackpot_1_winners,gold_jackpot_2_prize,gold_jackpot_2_winners,life_num_1,life_num_2,life_num_3,life_num_4,life_num_5,life_num_6,life_num_7,life_num_8,life_bonus_1,life_bonus_2,life_winner_1,life_winner_2,is_valid_jackpot,is_valid_gold_jackpot,is_valid_mgold,is_valid_life
455/21,02/01/2021,Sun,2919,8810,5151,6320,9792,6930,5296,5454,1373,8182,3468,3463,4948,8993,2847,9793,5140,6359,0906,8351,6766,8459,4027,9226664.77,0.0,333817.24,1.3709230708,7709871.2,0.05,128996.84,0.2,03,04,07,09,19,28,30,31,32,34,0.0,1.0,1,1,1,1
456/21,03/01/2021,Mon,5083,2070,9228,9118,8254,8312,6575,8766,3465,3605,8859,2924,4681,6984,2419,7102,6209,3776,2102,9417,5703,8891,9205,10070039.61,0.0,153340.88,2.1806773723,7381026.03,0.0,123260.44,0.225,11,14,16,17,27,31,32,35,19,26,0.0,0.0,1,1,1,1
457/21,06/01/2021,Thu,7484,2720,7505,0767,3466,5544,6289,8153,3723,5121,3750,8307,5043,5776,5727,1152,5146,5376,5431,8437,1738,4666,4737,10972889.58,0.0519108931,164154.54,0.0,7441415.83,0.0,116914.89,0.225,02,06,11,13,14,21,27,34,07,31,0.0,0.0,1,1,1,1
458/21,09/01/2021,Sun,2894,4636,4062,7192,5973,8447,9759,9346,9058,1390,5669,0465,3195,2831,2184,2674,7885,2197,1999,9482,6677,8934,4325,11328269.45,0.0,332334.97,0.1247874494,7502277.86,0.0,112164.34,0.0,04,07,09,19,21,26,28,33,03,13,0.0,0.0,1,1,1,1
459/21,10/01/2021,Mon,6473,1905,4693,1772,2349,2473,0697,0246,2772,8687,9860,3873,2017,2874,8003,9728,5178,0910,3993,9392,6746,2019,7830,12259538.99,0.0,460185.48,0.4272761911,7560459.96,0.0,132770.5,0.0,07,09,10,13,14,18,19,21,02,06,0.0,0.0,1,1,1,1
460/21,13/01/2021,Thu,2908,5845,4608,1325,2578,4907,3373,1035,2568,1037,6690,3640,4212,5949,6365,9184,4419,2357,4631,1694,1434,9593,6450,12791010.01,0.0,360190.28,0.210623672,7594589.62,0.0,144858.09,0.0,01,05,13,14,16,23,34,36,10,25,0.0,0.0,1,1,1,1
461/21,16/01/2021,Sun,6619,4623,6860,6138,7660,5278,2313,8010,2221,3722,6021,9274,7756,3469,5781,2778,8174,1892,2659,0171,5101,1591,4273,13221903.11,0.0,362669.88,1.1297269632,7621144.98,0.0,154263.11,0.1,04,06,07,11,12,17,21,31,03,26,0.0,0.0,1,1,1,1
462/21,17/01/2021,Mon,7035,8385,2216,2352,0949,7632,7643,0283,7604,7153,6905,1119,5576,5404,3603,9773,4082,2378,5153,0539,4456,3449,2196,13636812.72,0.0285714286,100000.0,0.0054214876,7646473.14,0.0,147807.19,0.0,05,11,13,14,16,20,21,24,09,36,0.0,0.0,1,1,1,1
463/21,20/01/2021,Thu,1134,0229,1868,7050,7298,6075,0038,5936,7398,4317,8672,9755,1516,0595,9487,0045,3067,2528,0516,9231,1702,7134,5498,13614585.43,0.0,141695.22,0.0027855153,7668823.38,0.0,155722.9,0.0,05,07,10,15,24,30,31,32,29,33,0.0,0.0,1,1,1,1
464/21,23/01/2021,Sun,6299,2973,4256,5836,6953,8411,4647,9651,1636,9313,3428,0468,4712,1278,6851,1826,6711,0957,2062,2689,8911,6926,9275,13832643.46,0.0,180947.45,0.005988024,7682856.23,0.0,160692.87,0.0,07,08,19,22,28,29,30,36,09,12,0.0,0.0,1,1,1,1
465/21,24/01/2021,Mon,6750,9924,7492,0886,4974,2895,5944,6885,3660,7437,3868,1902,0840,0747,6494,6757,4305,1783,2167,6098,0437,2049,9074,14042558.8,0.0,218030.36,0.0066542795,7696411.11,0.0,165493.56,0.0,04,07,08,10,11,23,30,34,18,29,0.0,0.0,1,1,1,1
466/21,26/01/2021,Wed,1065,6781,2039,2289,9208,9605,2040,1647,0330,6922,8196,1732,4225,0571,0039,3135,3826,0595,0306,6717,2804,4251,7630,14182126.55,0.0,241955.48,0.0041493776,7705106.68,0.0,168573.24,0.0,06,07,12,20,23,25,31,32,16,30,0.0,0.0,1,1,1,1
467/21,27/01/2021,Thu,6682,5586,1149,6700,7119,8149,4910,4228,6266,2359,3301,5333,9132,8728,5229,3909,3771,2227,8794,3822,3311,0993,1601,14332116.34,0.0,268222.39,0.0,7715390.4,0.0,172215.39,0.0,01,07,11,17,26,29,32,33,02,14,0.0,0.0,1,1,1,1
468/21,30/01/2021,Sun,2836,7770,9975,3508,9627,1275,7901,5690,6033,1603,0050,4768,7868,8107,9231,6265,3774,0531,8250,3149,9903,8215,2641,14495255.2,0.0,297884.0,0.080314348,7726120.02,0.0,176015.46,0.0,01,02,09,15,21,25,26,27,06,12,0.0,0.0,1,1,1,1
469/21,31/01/2021,Mon,1798,0532,6184,8682,4916,3204,1951,8505,4975,3477,7010,2211,0397,8003,4336,3771,9231,5903,3783,7048,6147,6643,4949,14647162.23,0.0,301579.1,0.0,7736555.81,0.0,179711.47,0.0,07,13,19,20,21,26,30,32,02,36,0.0,0.0,1,1,1,1
470/21,02/02/2021,Wed,1767,1889,6235,3346,6162,1914,5848,2190,4084,1037,8636,8277,5953,1985,0199,8640,5300,7777,8010,4958,3630,4416,8158,14777352.48,0.0,325250.06,0.0030959752,7744788.06,0.0,182627.06,0.0,01,06,11,19,23,26,33,34,21,30,0.0,0.0,1,1,1,1
471/21,03/02/2021,Thu,4503,4220,0344,8732,7345,3313,3569,4508,7906,3983,5363,3508,5495,7930,3107,5527,3163,8482,3463,7703,0659,2056,1277,14928488.14,0.0,351722.3,0.0174270574,7754612.42,0.0,186106.52,0.0,05,13,17,19,24,27,32,36,03,04,0.0,0.0,1,1,1,1
472/21,06/02/2021,Sun,1891,5143,5212,0542,6912,5328,5022,8555,0185,7502,8353,4298,5432,1931,8538,5061,5479,0412,2883,7432,7606,9780,2054,15087558.67,0.0,374514.74,0.0229655874,7765025.83,0.0,189794.6,0.0,05,07,14,19,20,28,30,34,15,33,0.0,0.0,1,1,1,1
473/21,07/02/2021,Mon,8100,1550,3743,5292,8573,7007,4442,2190,2603,2714,9149,3027,0493,0800,2799,8210,5935,4113,3804,9453,1087,3497,0791,15246162.45,0.0,394750.84,0.0260842881,7775458.05,0.0,193489.35,0.0,07,08,14,17,18,21,22,29,24,30,0.0,0.0,1,1,1,1
474/21,09/02/2021,Wed,6694,0825,5035,9309,1400,1936,3721,0496,4498,4254,4980,2917,2416,7094,5949,4476,4119,8461,2635,9042,4568,0118,5590,15394647.9,0.0,411451.4,0.0,7784665.25,0.0,196750.23,0.0,01,04,16,21,24,25,29,30,09,17,0.0,0.0,1,1,1,1
475/21,10/02/2021,Thu,8926,4223,9814,9072,5267,2990,1363,0072,3688,6004,3377,7752,3685,3866,0689,4391,8513,4071,6160,1527,2082,6570,6792,15563532.74,0.0,442157.74,0.0,7795799.58,0.0,200693.64,0.0,01,05,07,10,15,25,26,30,20,23,0.0,0.0,1,1,1,1
476/21,13/02/2021,Sun,3845,3479,2587,6990,9094,5118,2124,4799,9425,0381,1617,6761,0269,2926,0651,3778,1452,9658,7600,7511,2174,2661,5469,15756493.56,0.0,477241.53,0.0075341842,7808066.87,0.0,205038.3,0.0,05,06,09,16,24,26,31,36,10,14,0.0,0.0,1,1,1,1
477/21,14/02/2021,Mon,9701,2881,0361,4779,5494,4967,3270,5338,0197,8141,3428,8607,1037,6852,0681,8254,0351,6625,9365,6179,1770,8020,6396,15947634.84,0.0,508398.87,0.159910048,7820034.19,0.0,209276.73,0.05,02,03,13,16,17,22,33,34,01,11,0.0,0.0,1,1,1,1
478/21,16/02/2021,Wed,4210,1647,0122,6325,0325,6539,8544,0194,5041,4550,3191,2314,6469,6609,0030,6633,3321,9731,1932,3606,8663,9805,7329,16728908.85,0.0040160643,569150.6,0.0329307711,7852917.83,0.0,210459.18,0.0,01,03,09,13,16,33,35,36,20,25,0.0,0.0,1,1,1,1
479/21,17/02/2021,Thu,8119,4088,2271,4024,6525,4805,5316,6401,2617,3635,5680,0407,4955,5433,7408,2919,8466,2557,6379,0453,9280,2393,2021,17665900.15,0.0,732985.43,0.1342862248,7896398.83,0.0,225858.7,0.0,03,04,12,14,24,30,33,35,05,36,0.0,1.0,1,1,1,1
480/21,20/02/2021,Sun,2383,0601,9708,3450,3596,9425,2043,7177,9620,8567,2134,5792,9232,8373,8383,0878,6051,2455,0344,9790,6243,9187,4645,18930824.77,0.0285714286,864541.89,1.2091646932,7948134.05,0.0,244181.59,0.375,01,03,07,13,18,24,25,36,04,20,0.0,0.0,1,1,1,1
481/21,21/02/2021,Mon,1235,7648,7931,9464,8123,6481,6683,6786,4521,2267,3316,9003,8131,7684,0602,5600,5615,3283,8819,7500,7147,0570,6701,19669850.3,0.0066959776,232710.23,0.099966695,8000353.98,0.0,171108.05,0.0,01,05,06,07,18,25,26,32,11,14,0.0,0.0,1,1,1,1
482/21,24/02/2021,Thu,2538,8976,8513,7489,4197,9699,1693,6723,7485,1974,1750,0532,3005,5626,2846,9116,2956,6983,4008,4560,4415,2946,2201,20891126.82,0.016123922,455444.31,0.3350171609,8053399.76,0.0,189895.1,0.15,01,22,28,29,30,34,35,36,06,31,0.0,0.0,1,1,1,1
483/21,27/02/2021,Sun,8915,8120,9255,0555,7892,1407,6899,2262,7061,7039,4898,1252,6906,4529,7850,4513,0505,7494,2628,0188,4214,0300,9883,22013043.22,0.0042194093,568092.34,0.1200565592,8108963.51,0.0,181089.66,0.175,08,11,13,14,15,26,32,35,12,22,0.0,1.0,1,1,1,1
484/21,28/02/2021,Mon,4541,5650,2025,2608,7134,1365,3794,5074,3111,8856,3548,8968,3792,4200,4663,2741,0775,4107,5192,5059,0750,6815,0504,23426210.97,0.0938020352,773716.37,1.5154877254,8164190.07,0.0,168958.38,0.05,01,08,18,23,25,27,31,36,19,35,0.0,0.0,1,1,1,1
485/21,02/03/2021,Wed,2995,0295,1048,4348,3220,0422,4537,3283,5668,3485,3787,6789,7696,7188,8470,4937,0157,3415,5961,5050,9375,3502,3380,22468798.46,0.0114942529,225457.05,0.2877481657,8208050.63,0.0,176044.41,0.0,03,05,09,11,23,24,31,34,06,17,0.0,0.0,1,1,1,1
486/21,03/03/2021,Thu,2802,7189,4111,1130,4756,6731,8514,5694,6544,4428,5012,0404,4678,8473,8082,8981,4967,1770,8077,2683,7175,2413,6074,23653291.1,1.0413842033,422901.24,2.9132887867,8260485.78,0.0,194615.19,0.05,07,09,10,11,20,24,29,31,17,25,0.0,0.0,1,1,1,1
487/21,06/03/2021,Sun,5110,7868,2108,1346,9373,3685,0964,6528,6892,7008,6046,7688,5656,9964,2446,9157,9143,2805,3644,9029,3539,0234,4770,2737462.63,0.0,134084.12,2.4697160247,8320172.29,0.05,206023.4,0.15,07,15,20,21,23,29,32,33,10,18,0.0,0.0,1,1,1,1
488/21,07/03/2021,Mon,6906,5918,6028,9103,3968,6882,2887,1631,8160,2077,2532,5519,5362,6190,4940,1031,4251,5474,4678,0274,8592,2384,2327,3425392.4,0.0,125078.14,2.0344175282,7962736.44,0.0,195864.41,0.0,01,05,10,12,23,32,34,36,28,29,0.0,0.0,1,1,1,1
489/21,10/03/2021,Thu,1041,5436,8442,5167,7229,5861,8470,3003,1398,3801,3994,5533,5780,6142,1523,4559,1115,9130,6722,5565,8493,6665,8040,4118868.81,0.0015974441,126086.62,1.0276974292,8024060.41,0.0,217583.31,0.15,01,04,11,13,15,20,31,35,28,29,0.0,0.0,1,1,1,1
490/21,13/03/2021,Sun,5680,5518,9716,6519,1806,9175,7687,5204,0953,8692,9630,3952,9907,2143,5692,2416,3989,1250,7355,3227,5745,4321,0380,4838215.34,0.0,131986.58,0.0706432137,8085632.87,0.0,206752.72,0.1,01,02,04,09,13,16,17,23,25,31,0.0,0.0,1,1,1,1
491/21,14/03/2021,Mon,8909,2915,5836,9043,5604,2524,5873,7981,9576,0699,1933,9798,5856,1655,0242,6687,5347,3108,5546,1570,5024,5811,7607,5575352.79,0.0018518519,256687.61,0.0340361435,8145946.24,0.0,207438.44,0.0,06,09,10,22,25,26,31,35,15,29,0.0,0.0,1,1,1,1
492/21,17/03/2021,Thu,3751,7025,0941,0746,5802,6211,9085,5955,5506,8023,3209,8816,3549,8119,1564,1053,3045,2248,1483,3037,9325,9277,7601,6310419.22,0.0,383476.63,0.1350148728,8205556.91,0.175,228550.55,0.05,04,05,07,10,12,28,32,36,25,29,0.0,1.0,1,1,1,1
493/21,20/03/2021,Sun,0133,3921,9281,9506,4372,5999,1644,8227,5496,3774,7623,6593,4981,6879,2865,5204,8767,8314,6862,5899,6136,8438,2388,7118489.29,0.0336772911,478623.41,1.0770786491,6829555.09,0.05,238362.62,0.1,02,08,11,18,23,24,25,27,03,09,0.0,0.0,1,1,1,1
494/21,21/03/2021,Mon,8644,1907,6075,5783,7784,8260,9540,0769,6192,5786,2842,0856,4791,5755,9381,5882,9889,0714,0091,3699,2788,5910,2687,7677423.49,0.0,145211.94,1.1480390726,6546624.55,0.0,235261.83,0.25,07,12,13,15,18,20,27,36,01,28,0.0,0.0,1,1,1,1
495/21,24/03/2021,Thu,8011,2694,9244,2362,8236,8941,4080,8481,6569,6283,4012,2011,7874,2572,8191,2305,6743,6880,9915,1863,8691,2450,3921,8475794.2,0.0,145158.31,1.0633415006,6604557.77,0.0,196964.38,0.0,08,13,14,15,19,20,32,35,05,10,0.0,0.0,1,1,1,1
496/21,27/03/2021,Sun,5833,1989,1057,3588,3510,3087,1586,5736,1645,7567,4229,9511,3340,4261,7383,5989,3630,8629,4613,3588,2059,9548,8524,9335552.44,1.0,156319.68,2.054302243,6664274.17,0.0,218113.94,0.0,02,06,07,09,13,25,26,35,15,36,0.0,0.0,1,1,1,1
497/21,28/03/2021,Mon,2593,2694,9444,9097,1531,2543,8626,5053,1527,8967,4785,1798,1424,4785,0450,3759,3010,3534,7990,7294,4279,4376,7086,2676493.15,0.0,122998.76,0.0807876662,6722955.63,0.0,238896.96,0.2,04,10,15,17,22,23,27,32,05,30,0.0,0.0,1,1,1,1
498/21,30/03/2021,Wed,8992,5898,7227,6424,2323,1414,4912,2378,7896,3266,2716,1992,3774,9546,2265,1909,2308,1479,9463,4141,5780,1542,2593,3184488.96,0.0,205424.86,3.3739020742,6769765.4,0.0,207696.03,0.05,04,05,09,12,13,15,21,27,29,34,0.0,0.0,1,1,1,1
499/21,31/03/2021,Thu,8199,6710,1111,2696,4526,3470,0511,7501,6182,0934,2764,5710,5289,3596,1506,3716,2946,2428,1821,1346,6634,7858,2285,3770397.58,0.0,106528.84,0.0765443485,6824340.54,0.0,216639.92,0.525,03,05,08,14,15,17,19,36,12,16,0.0,0.0,1,1,1,1
500/21,03/04/2021,Sun,8985,0786,5185,2525,0409,3389,5502,5693,8893,7451,5412,7741,9210,0447,6032,7883,5342,2255,2925,7577,3862,0045,9558,4434637.37,0.0067567568,219145.53,3.148493537,6886648.37,0.0,124971.32,0.45,03,05,10,15,18,25,30,34,06,28,0.0,0.0,1,1,1,1
501/21,04/04/2021,Mon,6577,2992,3513,6040,0509,1667,0399,6205,4201,9216,2076,7711,0203,3030,4591,7248,6862,0682,0702,6073,7235,3441,7675,5089421.07,0.0,124499.54,0.1449769278,6947847.99,0.0,100000.0,0.0,06,07,10,14,25,30,32,36,03,05,0.0,0.0,1,1,1,1
502/21,06/04/2021,Wed,7439,6426,1896,7053,6901,5240,3140,2159,8569,3780,2371,0795,7416,5440,9772,0384,5267,1606,8355,6724,4589,7301,6989,5650328.37,0.0,208433.13,0.0048728425,6995324.03,0.0,107223.53,0.0,03,07,13,16,21,32,34,35,05,27,0.0,0.0,1,1,1,1
503/21,07/04/2021,Thu,6191,7410,1348,5482,5382,6081,4073,3104,0924,4331,8709,0692,1291,2589,6284,0485,1776,4095,1649,5188,6604,8782,4467,6292539.2,0.0,324183.08,1.1540312987,7050961.44,0.0,126928.44,0.275,04,06,07,15,20,21,32,36,23,24,0.0,0.0,1,1,1,1
504/21,10/04/2021,Sun,9824,2000,7666,8746,0872,3989,0061,8967,2350,5196,4110,1646,4369,7906,1533,2403,3018,9056,8526,4310,1861,9091,2885,6993861.25,0.0909090909,127513.1,0.104607721,7113290.06,0.0,114097.84,0.15,05,08,10,13,14,18,19,23,06,21,0.0,1.0,1,1,1,1
505/21,11/04/2021,Mon,9088,3621,9785,8293,3706,8061,3438,1760,4365,5421,5566,4539,3119,4093,4394,9857,5741,8321,5272,6380,1610,5301,3963,7071419.66,0.0,243876.79,1.0702304276,7173883.01,0.0,118443.16,0.1,06,17,19,20,22,23,27,33,07,14,0.0,0.0,1,1,1,1
506/21,14/04/2021,Thu,8599,6167,4607,9731,8153,7852,3140,1744,9340,8437,4873,4158,5998,1163,9596,5704,4071,8222,0599,0584,5467,7373,6501,7779137.17,0.0,128675.91,6.2107416339,7234929.38,0.0,128219.43,0.0,10,14,17,23,25,31,32,35,01,28,0.0,1.0,1,1,1,1
507/21,17/04/2021,Sun,1426,0111,8889,4457,0684,2555,3892,2217,3007,7382,2557,7469,9901,2217,5173,9282,2828,3606,1052,7442,4343,3194,2602,8516035.94,0.1153728917,133981.6,1.035239835,7295527.08,0.0,149681.12,0.225,01,02,06,08,11,13,24,32,05,14,0.0,0.0,1,1,1,1
508/21,18/04/2021,Mon,3891,1241,4836,4862,4075,7150,5363,7579,0946,4636,1290,3414,6194,8932,9546,1376,8210,0785,1919,2924,4135,4196,5948,8280281.66,0.014084507,135775.53,0.146713519,7354746.11,0.0,136976.28,0.125,02,05,09,13,17,19,29,31,30,33,0.0,0.0,1,1,1,1
509/21,21/04/2021,Thu,1777,6740,1985,6917,7550,1442,5268,4175,0998,6886,9225,0290,1950,8060,9640,3336,6140,3734,0342,9372,5674,4573,3685,8911535.69,0.0,251833.19,1.2750710032,7414034.04,0.0,140852.05,0.0,05,06,11,19,20,23,26,33,15,34,0.0,0.0,1,1,1,1
510/21,24/04/2021,Sun,8294,4630,2474,8619,7917,5658,5287,6607,5569,0111,2341,4731,6131,5932,7435,0543,7794,5195,4571,3701,1924,4819,2147,9699563.92,0.0,143277.86,1.018060954,7473864.89,0.0,162042.14,0.0,01,07,11,15,18,19,24,27,29,36,0.0,0.0,1,1,1,1
511/21,25/04/2021,Mon,2571,8756,7394,2807,5684,1608,1684,7774,2288,4552,6267,0026,1312,2059,1896,7874,7944,6199,0061,4274,6396,5827,1020,10495941.15,0.0,144795.86,0.0289904386,7530998.78,0.0,182277.06,0.1,01,03,08,09,20,26,28,30,07,32,0.0,1.0,1,1,1,1
512/21,28/04/2021,Thu,4871,2926,9344,7670,5614,4504,7186,4186,8258,0670,8884,6182,1085,6458,3729,9069,9484,1572,3604,3780,7810,6914,1751,11297705.0,0.0,286373.41,0.0220773577,7587572.73,0.0,184085.96,0.0,05,07,16,17,25,26,34,36,21,31,0.0,0.0,1,1,1,1
513/21,01/05/2021,Sun,5044,7704,2671,6876,4311,1563,6294,1254,1690,0357,3335,7362,3943,8070,2789,6753,2699,7844,3084,8328,9383,7200,6045,12150568.36,0.1069523471,435117.12,0.0998133375,7656077.17,0.05,208347.95,0.35,02,07,08,10,13,25,30,36,22,26,0.0,0.0,1,1,1,1
514/21,02/05/2021,Mon,4324,8929,4456,1957,2920,8405,4329,5894,7216,3196,3176,2103,6577,4010,5759,9625,0681,6642,5100,5747,3502,0448,4039,11682248.17,0.0526315789,542816.01,0.1237694971,7335345.91,0.0,157410.22,0.175,06,14,16,19,25,29,30,31,04,33,0.0,1.0,1,1,1,1
515/21,05/05/2021,Thu,5763,0962,9419,6315,4497,9818,7989,5334,1198,4311,6625,7112,3120,0754,7050,4853,0456,9463,2132,7588,7239,1451,6852,11879522.02,0.0,623291.77,1.0622148629,7397159.93,0.0,151755.89,0.275,01,18,20,22,23,25,28,34,14,29,0.0,0.0,1,1,1,1
516/21,08/05/2021,Sun,1251,3013,6890,8137,7738,3723,9640,5993,1900,9613,6642,9416,5277,5113,3077,1634,1094,2941,7414,5034,8996,6039,9617,12725694.99,0.001001001,153849.63,4.1251771082,7461989.29,0.0,132983.42,0.0,04,07,11,16,19,20,26,30,06,29,0.0,0.0,1,1,1,1
517/21,09/05/2021,Mon,1127,9776,6290,1799,1291,6720,4928,9145,4364,7166,1522,7854,9423,4430,0720,4046,6659,2393,2677,2390,3817,3631,4128,13558255.29,0.0,153690.68,0.1145349822,7523695.2,0.0,154837.6,0.05,03,06,08,10,11,14,26,27,19,31,0.0,1.0,1,1,1,1
518/21,12/05/2021,Thu,9748,1601,0632,7926,2884,6593,4453,0370,7371,8013,2538,7471,4929,6274,8882,5455,8315,0449,5155,0393,7868,5320,2435,14413282.43,0.0,291547.2,1.0544237789,7586415.86,0.0,169309.29,0.05,03,08,13,14,24,31,33,34,25,28,0.0,0.0,1,1,1,1
519/21,15/05/2021,Sun,1267,0694,7465,4191,8977,1098,1978,3106,5238,7281,5518,2976,8005,6828,8751,8360,6055,8491,9036,1790,9771,0432,8671,15290278.03,0.0,159453.75,0.1634411784,7649373.13,0.0,183141.2,0.0,04,07,09,11,21,22,30,32,19,25,0.0,0.0,1,1,1,1
520/21,16/05/2021,Mon,2611,1817,5058,9392,9882,3561,8484,0390,5360,3289,9030,9609,0843,4893,9995,6109,2209,4072,0030,7479,7805,9321,0262,16198445.35,0.0397255327,298513.77,2.059164376,7709204.18,0.0,204331.36,0.225,08,11,14,18,23,29,30,32,24,28,0.0,0.0,1,1,1,1
521/21,19/05/2021,Thu,5003,8722,8984,2056,6732,4282,6600,6850,1011,4750,6155,5944,8311,6469,4894,6890,5494,3532,2076,9817,2290,2664,6833,16466459.19,0.0092592593,165728.31,0.0586587326,7769349.65,0.0,179658.32,0.15,02,05,06,14,18,24,27,28,12,26,0.0,0.0,1,1,1,1
522/21,22/05/2021,Sun,1303,1470,2572,7819,7084,5439,2971,4467,8016,2981,6255,5648,4481,7828,3366,5407,8417,0461,6892,0064,0169,3391,9107,17341026.07,0.0,342740.37,0.1415860631,7827848.35,0.0,173427.86,0.15,04,10,18,21,24,30,31,34,12,20,0.0,1.0,1,1,1,1
523/21,23/05/2021,Mon,8801,5862,1740,2468,0685,3399,0330,0784,4351,3270,6633,6635,1281,5542,9764,2196,2442,6234,7868,4617,6606,4439,4865,18402961.4,0.005988024,487292.26,0.1739703217,7883421.01,0.0,167095.66,0.15,04,05,06,08,12,16,18,27,33,36,0.0,0.0,1,1,1,1
524/21,25/05/2021,Wed,7781,9329,2353,7088,0587,7766,6832,1183,9573,7708,9134,3306,9426,6776,1892,3470,6092,4596,2958,0396,6309,6442,6676,19187857.59,0.0245685752,565262.16,0.0601892947,7926492.54,0.05,157285.81,0.1,05,10,13,14,16,17,33,35,18,31,0.0,1.0,1,1,1,1
525/21,26/05/2021,Thu,7486,6329,6568,1155,4675,3835,3023,0970,1951,9824,2913,5279,0770,1811,0686,8657,8599,9483,8466,2129,9372,9416,7455,19777784.12,0.0,724211.22,0.1321871131,7581009.36,0.0,159563.58,0.0,03,04,05,06,11,16,18,21,28,36,0.0,0.0,1,1,1,1
526/21,29/05/2021,Sun,4634,4612,2607,6791,0538,5978,4690,9254,4851,4984,3834,7766,6079,4918,6721,8929,0959,0989,4033,1616,4269,1176,6001,20796394.19,0.0023866348,813681.66,0.1002890749,7626783.2,0.0,175775.15,0.1,02,09,10,17,29,31,35,36,06,22,0.0,0.0,1,1,1,1
527/21,30/05/2021,Mon,3725,5241,2070,6714,2468,4082,1502,8519,8613,6206,4808,8609,9310,3344,0176,2454,0922,0941,2144,6117,5500,5654,1433,21819455.44,0.0070577216,927113.67,0.090189716,7672201.83,0.0,174283.39,0.05,01,03,04,10,15,16,21,27,35,36,0.0,0.0,1,1,1,1
580/21,15/09/2021,Thu,7137,1028,9161,5119,2138,0023,0343,3119,6139,8006,2414,0047,3428,1988,5101,1331,8527,2219,8546,4410,2683,7348,7683,23297568.0,0.2073088398,1140244.5,1.3813699316,7697157.95,0.0,174407.85,0.0,03,09,12,16,21,24,33,36,11,31,0.0,0.0,1,1,1,1
581/21,18/09/2021,Sun,2552,1225,4071,1473,3921,1549,5685,6344,0674,1816,4379,4051,7211,0589,7395,4137,5928,7008,0169,6772,1455,1941,5267,19166336.44,0.049867374,127010.95,0.1964408733,7724465.91,0.0,184079.42,0.05,11,14,15,19,29,31,32,36,16,18,0.0,0.0,1,1,1,1
582/21,19/09/2021,Mon,5498,3603,3203,5769,3225,8491,6965,8447,9457,3304,0565,7874,9174,7496,3540,7183,0139,2655,7304,4118,1408,0349,8162,18922379.46,0.0,231482.25,1.181666714,7752980.09,0.0,184974.22,0.85,01,11,13,14,21,31,33,34,07,24,0.0,0.0,1,1,1,1
583/21,22/09/2021,Thu,4851,7868,5669,0295,6500,5515,0248,4391,9165,9236,8744,1242,4476,7444,5966,2035,4267,6180,7345,1130,0050,0976,7003,19651291.93,0.0,132529.54,0.0084070718,7782779.68,0.0,100000.0,0.05,01,09,10,22,29,31,33,34,02,30,0.0,0.0,1,1,1,1
584/21,25/09/2021,Sun,2708,9488,1860,1638,0792,0191,3291,5940,8721,0514,6809,2498,5504,4809,4066,5644,6104,4387,8792,8896,5196,8808,6760,20423431.05,0.0033444816,271804.28,0.0687650696,7814294.75,0.0,100000.0,0.0,01,03,06,08,11,17,27,28,31,36,1.0,0.0,1,1,1,1
585/21,26/09/2021,Mon,2372,7397,2798,7767,5348,6070,3791,6160,6276,0922,1993,9487,2364,5015,7067,8322,4829,5619,5348,7696,8325,7888,1969,21131505.73,0.0,394273.73,0.2773275297,7845104.54,0.0,100000.0,0.05,10,13,16,18,20,26,28,33,07,27,0.0,0.0,1,1,1,1
586/21,28/09/2021,Wed,0259,4505,9841,4966,7791,6527,1723,6134,3691,7497,6636,6174,6598,7858,2119,2915,0001,0209,4387,9742,8519,1930,9153,21782212.88,0.0,403241.16,0.2561204167,7869582.09,0.0,100000.0,0.05,03,09,18,21,25,27,30,32,15,17,0.0,2.0,1,1,1,1
587/21,29/09/2021,Thu,7766,3586,9923,8369,8464,4400,5639,0328,3717,6866,2002,3905,5109,9483,7384,6035,4603,8804,0781,1209,1015,6438,6422,22554482.37,0.0031555774,440375.51,0.3240154716,7900022.41,0.0,100000.0,0.0,07,14,16,20,23,24,33,34,09,28,0.0,0.0,1,1,1,1
588/21,02/10/2021,Sun,2201,4550,1801,2388,8947,7634,1981,7970,0623,7780,5849,9073,9883,4861,6327,6237,4032,3917,9983,6728,0543,1119,7176,23469505.34,0.0,476995.28,1.4757815707,7941553.11,0.0,100000.0,0.15,09,11,15,16,19,23,29,30,08,27,0.0,0.0,1,1,1,1
589/21,03/10/2021,Mon,9488,4320,1268,1255,6376,6143,1972,4546,6026,6361,3731,3601,3261,1963,8556,8042,9230,8476,5616,8123,2119,9802,7385,24519742.08,0.0,190952.14,1.2628671687,7983617.02,0.0,100000.0,0.05,02,09,11,25,26,30,31,33,16,17,0.0,0.0,1,1,1,1
590/21,05/10/2021,Wed,6060,7635,0111,1543,7008,9846,9495,0384,0276,7579,0037,6426,1042,0641,9764,4055,7228,3348,0951,2917,1279,6667,2308,25410058.87,0.0039525692,161875.78,0.228524124,8016458.88,0.0,100000.0,0.0,07,12,15,16,19,23,29,30,04,08,0.0,0.0,1,1,1,1
